Date,Store,City,Product,Category,Unit_Price,Quantity,Revenue,Cost,Profit
2024-01-01,Store_1,Lucknow,Product_6,Stationery,175.99,4,703.96,519.77,184.19000000000005
2024-01-01,Store_1,Varanasi,Product_41,Stationery,87.11,1,87.11,75.53,11.579999999999998
2024-01-01,Store_1,Raipur,Product_31,Personal Care,470.01,3,1410.03,1232.84,177.19000000000005
2024-01-01,Store_1,Udaipur,Product_3,Personal Care,190.63,2,381.26,324.14,57.120000000000005
2024-01-01,Store_1,Jabalpur,Product_30,Snacks,72.85,4,291.4,246.84,44.559999999999974
2024-01-01,Store_1,Jodhpur,Product_41,Snacks,136.09,1,136.09,119.21,16.88000000000001
2024-01-01,Store_1,Jodhpur,Product_48,Snacks,85.34,2,170.68,109.71,60.97000000000001
2024-01-01,Store_1,Udaipur,Product_49,Grocery,499.93,2,999.86,809.53,190.33000000000004
2024-01-01,Store_2,Jabalpur,Product_47,Stationery,488.24,3,1464.72,1083.94,380.78
2024-01-01,Store_2,Indore,Product_42,Personal Care,405.71,1,405.71,279.8,125.90999999999997
2024-01-01,Store_2,Lucknow,Product_20,Personal Care,105.63,1,105.63,80.94,24.689999999999998
2024-01-01,Store_2,Raipur,Product_7,Personal Care,50.9,4,203.6,173.59,30.00999999999999
2024-01-01,Store_2,Jabalpur,Product_26,Personal Care,341.58,2,683.16,499.72,183.43999999999994
2024-01-01,Store_2,Jabalpur,Product_50,Personal Care,337.61,3,1012.83,764.64,248.19000000000005
2024-01-01,Store_2,Jabalpur,Product_15,Grocery,480.5,2,961.0,711.08,249.91999999999996
2024-01-01,Store_2,Lucknow,Product_33,Personal Care,43.53,4,174.12,132.78,41.34
2024-01-01,Store_2,Indore,Product_46,Personal Care,425.28,1,425.28,344.29,80.98999999999995
2024-01-01,Store_3,Raipur,Product_6,Stationery,45.96,1,45.96,35.02,10.939999999999998
2024-01-01,Store_3,Udaipur,Product_18,Stationery,283.9,4,1135.6,825.73,309.8699999999999
2024-01-01,Store_3,Varanasi,Product_27,Grocery,152.71,2,305.42,223.66,81.76000000000002
2024-01-01,Store_3,Udaipur,Product_3,Beverages,342.8,3,1028.4,821.67,206.73000000000013
2024-01-01,Store_3,Nagpur,Product_41,Personal Care,45.88,2,91.76,73.28,18.480000000000004
2024-01-01,Store_3,Bhopal,Product_3,Snacks,213.01,2,426.02,365.97,60.049999999999955
2024-01-01,Store_3,Bhopal,Product_14,Grocery,29.38,1,29.38,17.8,11.579999999999998
2024-01-01,Store_3,Nagpur,Product_39,Beverages,416.51,1,416.51,295.89,120.62
2024-01-01,Store_3,Nagpur,Product_16,Beverages,288.62,3,865.86,658.48,207.38
2024-01-01,Store_3,Indore,Product_19,Personal Care,219.86,3,659.58,396.32,263.26000000000005
2024-01-01,Store_3,Lucknow,Product_22,Snacks,264.84,4,1059.36,928.96,130.39999999999986
2024-01-01,Store_3,Raipur,Product_6,Grocery,275.9,1,275.9,215.43,60.46999999999997
2024-01-01,Store_3,Udaipur,Product_43,Snacks,108.88,3,326.64,253.05,73.58999999999997
2024-01-01,Store_4,Indore,Product_44,Stationery,306.3,3,918.9,634.11,284.78999999999996
2024-01-01,Store_4,Jodhpur,Product_7,Stationery,425.59,3,1276.77,876.5,400.27
2024-01-01,Store_4,Indore,Product_15,Beverages,254.44,4,1017.76,628.47,389.28999999999996
2024-01-01,Store_4,Bhopal,Product_16,Snacks,59.29,3,177.87,118.1,59.77000000000001
2024-01-01,Store_4,Varanasi,Product_8,Beverages,383.23,2,766.46,528.64,237.82000000000005
