Date,Store,City,Product,Category,Unit_Price,Quantity,Revenue,Cost
2024-01-01,Store_1,Lucknow,Product_6,Stationery,175.99,4,703.96,519.77
2024-01-01,Store_1,Varanasi,Product_41,Stationery,87.11,1,87.11,75.53
2024-01-01,Store_1,Raipur,Product_31,Personal Care,470.01,3,1410.03,1232.84
2024-01-01,Store_1,Udaipur,Product_3,Personal Care,190.63,2,381.26,324.14
2024-01-01,Store_1,Jabalpur,Product_30,Snacks,72.85,4,291.4,246.84
2024-01-01,Store_1,Jodhpur,Product_41,Snacks,136.09,1,136.09,119.21
2024-01-01,Store_1,Jodhpur,Product_48,Snacks,85.34,2,170.68,109.71
2024-01-01,Store_1,Udaipur,Product_49,Grocery,499.93,2,999.86,809.53
2024-01-01,Store_2,Jabalpur,Product_47,Stationery,488.24,3,1464.72,1083.94
2024-01-01,Store_2,Indore,Product_42,Personal Care,405.71,1,405.71,279.8
2024-01-01,Store_2,Lucknow,Product_20,Personal Care,105.63,1,105.63,80.94
2024-01-01,Store_2,Raipur,Product_7,Personal Care,50.9,4,203.6,173.59
2024-01-01,Store_2,Jabalpur,Product_26,Personal Care,341.58,2,683.16,499.72
2024-01-01,Store_2,Jabalpur,Product_50,Personal Care,337.61,3,1012.83,764.64
2024-01-01,Store_2,Jabalpur,Product_15,Grocery,480.5,2,961.0,711.08
2024-01-01,Store_2,Lucknow,Product_33,Personal Care,43.53,4,174.12,132.78
2024-01-01,Store_2,Indore,Product_46,Personal Care,425.28,1,425.28,344.29
2024-01-01,Store_3,Raipur,Product_6,Stationery,45.96,1,45.96,35.02
2024-01-01,Store_3,Udaipur,Product_18,Stationery,283.9,4,1135.6,825.73
2024-01-01,Store_3,Varanasi,Product_27,Grocery,152.71,2,305.42,223.66
2024-01-01,Store_3,Udaipur,Product_3,Beverages,342.8,3,1028.4,821.67
2024-01-01,Store_3,Nagpur,Product_41,Personal Care,45.88,2,91.76,73.28
2024-01-01,Store_3,Bhopal,Product_3,Snacks,213.01,2,426.02,365.97
2024-01-01,Store_3,Bhopal,Product_14,Grocery,29.38,1,29.38,17.8
2024-01-01,Store_3,Nagpur,Product_39,Beverages,416.51,1,416.51,295.89
2024-01-01,Store_3,Nagpur,Product_16,Beverages,288.62,3,865.86,658.48
2024-01-01,Store_3,Indore,Product_19,Personal Care,219.86,3,659.58,396.32
2024-01-01,Store_3,Lucknow,Product_22,Snacks,264.84,4,1059.36,928.96
2024-01-01,Store_3,Raipur,Product_6,Grocery,275.9,1,275.9,215.43
2024-01-01,Store_3,Udaipur,Product_43,Snacks,108.88,3,326.64,253.05
2024-01-01,Store_4,Indore,Product_44,Stationery,306.3,3,918.9,634.11
2024-01-01,Store_4,Jodhpur,Product_7,Stationery,425.59,3,1276.77,876.5
2024-01-01,Store_4,Indore,Product_15,Beverages,254.44,4,1017.76,628.47
2024-01-01,Store_4,Bhopal,Product_16,Snacks,59.29,3,177.87,118.1
2024-01-01,Store_4,Varanasi,Product_8,Beverages,383.23,2,766.46,528.64
2024-01-01,Store_4,Nagpur,Product_41,Beverages,391.77,2,783.54,483.4
2024-01-01,Store_4,Raipur,Product_4,Stationery,413.51,3,1240.53,942.28
2024-01-01,Store_4,Ranchi,Product_42,Snacks,191.24,1,191.24,120.11
2024-01-01,Store_4,Lucknow,Product_25,Snacks,84.25,1,84.25,71.48
2024-01-01,Store_4,Ranchi,Product_40,Personal Care,295.93,3,887.79,795.96
2024-01-01,Store_4,Bhopal,Product_5,Beverages,415.35,2,830.7,599.14
2024-01-01,Store_5,Varanasi,Product_30,Beverages,251.94,4,1007.76,805.89
2024-01-01,Store_5,Nagpur,Product_38,Snacks,117.99,4,471.96,371.02
2024-01-01,Store_5,Bhopal,Product_42,Stationery,429.41,1,429.41,314.52
2024-01-01,Store_5,Jabalpur,Product_1,Stationery,219.76,1,219.76,133.9
2024-01-01,Store_5,Udaipur,Product_23,Stationery,489.65,4,1958.6,1255.26
2024-01-01,Store_6,Indore,Product_30,Beverages,63.66,2,127.32,109.78
2024-01-01,Store_6,Nagpur,Product_46,Stationery,354.94,2,709.88,496.95
2024-01-01,Store_6,Bhopal,Product_44,Beverages,119.1,1,119.1,98.92
2024-01-01,Store_6,Bhopal,Product_31,Personal Care,64.26,1,64.26,44.53
2024-01-01,Store_6,Lucknow,Product_2,Snacks,138.95,3,416.85,308.11
2024-01-01,Store_6,Udaipur,Product_44,Stationery,315.22,2,630.44,542.33
2024-01-01,Store_6,Nagpur,Product_12,Personal Care,489.96,3,1469.88,1320.27
2024-01-01,Store_7,Jabalpur,Product_32,Personal Care,240.49,4,961.96,813.48
2024-01-01,Store_7,Bhopal,Product_43,Grocery,336.74,3,1010.22,666.83
2024-01-01,Store_7,Udaipur,Product_8,Snacks,395.32,2,790.64,501.49
2024-01-01,Store_7,Ranchi,Product_24,Grocery,203.25,4,813.0,680.15
2024-01-01,Store_7,Jabalpur,Product_3,Beverages,98.26,3,294.78,230.75
2024-01-01,Store_7,Ranchi,Product_16,Grocery,419.75,4,1679.0,1179.04
2024-01-01,Store_7,Varanasi,Product_31,Beverages,461.91,3,1385.73,1126.05
2024-01-01,Store_7,Jodhpur,Product_15,Stationery,171.2,4,684.8,413.48
